gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,InactiveDays,SubscriptionType,Churn,charge_per_tenure,service_count,is_high_value,contract_risk_score,payment_risk_score,engagement_score,tenure_band,charge_band,total_charge_ratio,has_streaming,has_security,churn_probability,churn_label,risk_score,risk_category,cluster_id,segment,top_action
1,1,0,0,51,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,0,Electronic check,89.35,4589.03,20,Premium,0,1.7182692307692307,2,1,1,3,10.0,3,3,1.0070618958271613,0,0,0.3914,No Churn,25,Medium,3,Premium,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
1,0,0,1,30,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,22.64,729.08,9,Basic,1,0.7303225806451613,0,0,1,3,0.0,2,0,1.0734393404004712,0,0,0.2295,No Churn,6,Low,3,Premium,No action required.
1,1,1,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,21.47,1160.7,25,Basic,0,0.40509433962264146,0,0,0,2,0.0,3,0,1.0396438680090287,0,0,0.162,No Churn,3,Low,3,Premium,No action required.
1,1,1,0,56,1,No,Fiber optic,No,No,No,No,No,No,One year,1,Electronic check,67.94,3850.44,27,Standard,1,1.1919298245614034,0,0,1,3,0.0,3,2,1.0120379326296312,0,0,0.4578,No Churn,40,Medium,3,Premium,"Enrol in Senior Care tier: priority call routing, simplified billing PDF, and a dedicated account manager for all service queries."
1,1,0,0,56,1,No,DSL,No,No,No,Yes,No,No,Two year,1,Electronic check,48.68,2770.02,29,Basic,0,0.8540350877192983,1,0,0,3,0.0,3,1,1.0161183824392535,0,1,0.3122,No Churn,13,Low,3,Premium,"Enrol in Senior Care tier: priority call routing, simplified billing PDF, and a dedicated account manager for all service queries."
1,0,1,1,2,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,56.03,134.45,58,Standard,1,18.676666666666666,1,0,2,3,0.0,0,1,1.1998036766018203,1,0,0.7403,Churn,92,High,1,Risky,Assign a dedicated Customer Success Manager for the first 90 days. Schedule a weekly check-in call and send a personalised onboarding kit.
1,0,1,0,30,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,31.84,975.31,22,Basic,0,1.0270967741935484,1,0,0,2,0.0,2,0,1.0210531825795643,0,0,0.1516,No Churn,3,Low,3,Premium,No action required.
0,0,0,1,52,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Mailed check,93.12,4873.3,17,Premium,0,1.7569811320754718,4,1,1,2,31.5,3,3,1.0064143867301085,1,1,0.2585,No Churn,8,Low,0,Loyal,No action required.
1,0,0,0,59,1,No,DSL,No,No,No,No,No,Yes,One year,0,Mailed check,55.02,3290.22,8,Standard,0,0.917,1,0,1,2,6.0,3,1,1.0135667153392602,1,0,0.1229,No Churn,2,Low,3,Premium,No action required.
0,0,0,0,60,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,0,Bank transfer (automatic),93.43,5649.85,26,Premium,0,1.531639344262295,3,1,0,0,17.0,3,3,1.007857932855257,1,0,0.2275,No Churn,6,Low,0,Loyal,No action required.
1,0,0,0,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),88.67,2412.75,73,Premium,1,3.1667857142857145,2,1,2,0,0.0,2,3,1.0077941932007568,0,0,0.7213,Churn,90,High,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,1,0,0,10,1,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,0,Mailed check,55.17,591.87,40,Standard,0,5.015454545454546,2,0,2,2,0.0,1,1,1.072811310494834,0,1,0.4913,No Churn,48,Medium,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,1,0,61,1,Yes,DSL,No,No,No,No,No,No,Two year,1,Credit card (automatic),56.03,3460.98,13,Standard,0,0.9037096774193548,1,0,0,0,3.5,3,1,1.012624969644482,0,0,0.1752,No Churn,4,Low,3,Premium,No action required.
1,0,0,0,30,1,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,1,Mailed check,84.97,2572.4,29,Premium,0,2.7409677419354836,2,1,0,2,5.5,2,2,1.0091404809540623,1,0,0.2718,No Churn,9,Low,3,Premium,No action required.
1,0,0,0,50,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),102.99,5197.32,16,Premium,0,2.0194117647058825,5,1,1,0,42.0,3,3,1.009286338479464,1,1,0.1936,No Churn,4,Low,0,Loyal,No action required.
1,0,1,0,20,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Mailed check,87.6,1781.93,53,Premium,1,4.171428571428571,2,1,2,2,0.0,1,3,1.0170833333333333,1,0,0.6606,Churn,83,High,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,0,0,7,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,30.75,240.15,8,Basic,0,3.84375,1,0,2,2,6.0,1,0,1.1156794425087109,0,0,0.5098,Churn,52,Medium,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,0,0,21,1,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),69.59,1511.32,81,Standard,0,3.1631818181818185,3,0,2,0,0.0,1,2,1.0341661021356379,1,1,0.6502,Churn,82,High,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,1,0,33,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Electronic check,86.45,2862.53,45,Premium,1,2.5426470588235297,2,1,2,3,0.0,2,3,1.0033930981299404,1,1,0.8544,Churn,97,High,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,0,0,65,1,No,Fiber optic,No,No,No,No,No,Yes,Two year,1,Credit card (automatic),81.37,5292.27,9,Premium,0,1.232878787878788,1,1,0,0,5.5,3,2,1.000608804983882,1,0,0.2987,No Churn,12,Low,3,Premium,No action required.
0,0,0,0,56,1,Yes,Fiber optic,No,No,No,Yes,No,No,One year,1,Bank transfer (automatic),82.36,4631.63,26,Premium,1,1.4449122807017545,2,1,1,0,7.0,3,2,1.0042214493859711,0,1,0.3069,No Churn,13,Low,3,Premium,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
0,0,1,0,19,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,30.66,587.16,73,Basic,1,1.533,1,0,2,3,0.0,1,0,1.0079307858687816,0,0,0.8007,Churn,95,High,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,1,1,25,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,0,Mailed check,75.93,1936.38,5,Standard,1,2.9203846153846156,4,1,2,2,37.5,2,2,1.020086922165152,1,0,0.4028,No Churn,27,Medium,0,Loyal,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
1,0,0,1,56,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),30.58,1748.5,6,Basic,0,0.5364912280701755,1,0,0,0,7.0,3,0,1.021033822292815,0,0,0.1412,No Churn,3,Low,3,Premium,No action required.
1,0,1,1,33,1,Yes,DSL,No,No,No,No,No,Yes,One year,0,Electronic check,64.5,2160.37,18,Standard,0,1.8970588235294117,2,0,1,3,11.0,2,1,1.01497298567066,1,0,0.2439,No Churn,7,Low,3,Premium,No action required.
0,0,1,0,11,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,57.54,648.22,67,Standard,0,4.795,1,0,2,3,0.0,1,1,1.0241413088128417,1,0,0.8054,Churn,95,High,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,0,0,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),22.3,388.02,5,Basic,0,1.238888888888889,0,0,2,0,0.0,1,0,1.0235294117647058,0,0,0.52,Churn,55,Medium,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,0,1,7,1,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,75.04,574.94,25,Standard,0,9.38,3,1,2,2,17.5,1,2,1.0945400548279012,1,0,0.4309,No Churn,33,Medium,0,Loyal,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
0,0,0,0,15,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,21.34,336.12,73,Basic,0,1.33375,0,0,2,3,0.0,1,0,1.0500468603561386,0,0,0.7617,Churn,93,High,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,0,0,46,1,No,Fiber optic,Yes,No,No,No,Yes,No,One year,0,Electronic check,80.76,3749.56,5,Premium,1,1.7182978723404256,2,1,1,3,17.5,2,2,1.0093136938217369,1,1,0.3458,No Churn,18,Low,0,Loyal,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
0,1,0,0,5,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),85.45,439.84,86,Premium,0,14.241666666666667,2,1,2,0,0.0,0,3,1.029467524868344,1,0,0.736,Churn,91,High,2,Inactive,Assign a dedicated Customer Success Manager for the first 90 days. Schedule a weekly check-in call and send a personalised onboarding kit.
1,0,1,1,14,1,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,0,Mailed check,64.09,921.18,77,Standard,0,4.272666666666667,3,0,2,2,0.0,1,1,1.026658939437844,1,0,0.5477,Churn,62,Medium,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,1,1,0,1,1,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Bank transfer (automatic),87.4,102.49,36,Premium,0,43.7,2,1,2,0,2.0,0,3,1.1726544622425628,0,1,0.6413,Churn,80,Medium,2,Inactive,Assign a dedicated Customer Success Manager for the first 90 days. Schedule a weekly check-in call and send a personalised onboarding kit.
0,0,0,0,28,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),32.58,929.94,58,Basic,0,1.123448275862069,1,0,2,0,0.0,2,0,1.0194027887398054,0,0,0.5382,Churn,59,Medium,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,1,0,22,1,No,DSL,No,Yes,No,No,No,Yes,One year,1,Electronic check,60.5,1380.53,14,Standard,0,2.630434782608696,2,0,1,3,13.0,1,1,1.037212622088655,1,0,0.302,No Churn,12,Low,3,Premium,Offer a 5 % auto-pay discount for switching from electronic cheque to bank transfer or credit card. Simplify the switch with a guided in-app flow.
1,0,0,1,50,1,No,Fiber optic,No,No,No,No,No,Yes,One year,0,Electronic check,81.31,4107.47,4,Premium,1,1.5943137254901962,1,1,1,3,8.0,3,2,1.0103234534497603,1,0,0.379,No Churn,23,Medium,3,Premium,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
0,0,0,1,11,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,49.3,552.07,15,Basic,0,4.108333333333333,0,0,2,3,0.0,1,1,1.0180158583809702,0,0,0.7375,Churn,91,High,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,1,1,0,23,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,62.4,1425.36,43,Standard,1,2.6,2,0,2,2,0.0,1,1,0.99314381270903,0,0,0.4776,No Churn,44,Medium,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,0,0,45,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,1,Electronic check,106.88,4825.4,14,Premium,0,2.323478260869565,5,1,1,3,43.0,2,3,1.0032850964737192,1,1,0.4073,No Churn,28,Medium,0,Loyal,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
1,1,0,1,48,1,No,DSL,No,No,No,No,Yes,No,Two year,1,Mailed check,54.86,2628.11,6,Standard,0,1.1195918367346938,1,0,0,2,7.0,2,1,0.9980366690970958,1,0,0.1469,No Churn,3,Low,3,Premium,No action required.
1,1,0,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),22.1,287.77,0,Basic,0,1.7000000000000002,0,0,2,0,0.0,1,0,1.0851055806938157,0,0,0.5117,Churn,53,Medium,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,1,1,2,0,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,74.03,143.12,70,Standard,0,24.676666666666666,1,1,2,3,0.0,0,2,0.9666351479130083,0,0,0.8831,Churn,98,High,2,Inactive,Assign a dedicated Customer Success Manager for the first 90 days. Schedule a weekly check-in call and send a personalised onboarding kit.
0,0,0,0,28,1,No,Fiber optic,No,No,No,No,No,Yes,Two year,1,Credit card (automatic),79.42,2246.21,3,Standard,0,2.7386206896551726,1,1,0,0,8.5,2,2,1.0100955139043781,1,0,0.238,No Churn,7,Low,3,Premium,No action required.
0,0,1,0,10,1,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),101.66,1055.39,8,Premium,1,9.241818181818182,4,1,2,0,36.0,1,3,1.0381566004328155,1,1,0.6566,Churn,83,High,0,Loyal,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
0,0,0,1,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,28.35,712.63,3,Basic,0,1.0903846153846155,1,0,0,2,8.5,2,0,1.0054744268077602,0,0,0.1058,No Churn,2,Low,3,Premium,No action required.
0,0,0,1,47,1,No,DSL,No,Yes,No,No,No,Yes,Two year,1,Credit card (automatic),56.2,2640.64,27,Standard,0,1.1708333333333334,2,0,0,0,6.5,2,1,0.9997122737941999,1,0,0.1771,No Churn,4,Low,3,Premium,No action required.
1,0,1,0,21,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),33.06,691.35,12,Basic,1,1.502727272727273,1,0,2,0,4.0,1,0,0.9958084867340766,0,0,0.439,No Churn,35,Medium,3,Premium,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,1,1,0,7,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,54.77,398.39,87,Standard,0,6.84625,1,0,2,2,0.0,1,1,1.0391246511385273,0,1,0.6451,Churn,81,Medium,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,0,1,44,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,31.62,1411.56,4,Basic,0,0.7026666666666667,1,0,0,2,8.0,2,0,1.0145765050888391,0,0,0.1326,No Churn,2,Low,3,Premium,No action required.
1,0,0,0,32,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.45,622.53,80,Basic,0,0.5893939393939394,0,0,2,3,0.0,2,0,1.0002088688946016,0,0,0.8092,Churn,96,High,1,Risky,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,1,1,1,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,22.92,54.54,71,Basic,1,11.46,0,0,2,2,0.0,0,0,2.0,0,0,0.5912,Churn,71,Medium,1,Risky,Assign a dedicated Customer Success Manager for the first 90 days. Schedule a weekly check-in call and send a personalised onboarding kit.
1,0,0,0,11,1,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,0,Credit card (automatic),63.6,719.62,75,Standard,1,5.3,2,0,2,0,0.0,1,1,1.028616352201258,0,1,0.5685,Churn,66,Medium,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,1,0,0,53,1,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,1,Bank transfer (automatic),71.05,3770.94,6,Standard,0,1.3157407407407407,4,1,1,0,37.0,3,2,1.001404803951509,1,0,0.1451,No Churn,3,Low,0,Loyal,No action required.
1,0,1,0,28,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.48,564.72,20,Basic,0,0.7062068965517242,0,0,0,2,0.0,2,0,0.9847935267857142,0,0,0.1602,No Churn,3,Low,3,Premium,No action required.
0,1,0,0,40,1,Yes,Fiber optic,Yes,No,No,No,No,No,One year,1,Bank transfer (automatic),88.15,3556.26,18,Premium,0,2.1500000000000004,2,1,1,0,11.0,2,3,1.0085819625638117,0,1,0.2951,No Churn,11,Low,0,Loyal,No action required.
0,0,1,0,35,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Credit card (automatic),76.77,2702.15,6,Standard,0,2.1325,1,1,2,0,7.0,2,2,1.0056569716593164,0,1,0.5872,Churn,71,Medium,3,Premium,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
1,1,1,1,44,1,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,1,Electronic check,91.93,4062.67,8,Premium,0,2.042888888888889,3,1,1,3,26.0,2,3,1.0043882202861862,1,1,0.4188,No Churn,31,Medium,0,Loyal,"Enrol in Senior Care tier: priority call routing, simplified billing PDF, and a dedicated account manager for all service queries."
0,0,0,0,26,1,Yes,DSL,No,No,No,Yes,No,Yes,One year,1,Electronic check,66.73,1764.5,5,Standard,1,2.4714814814814816,3,0,1,3,27.5,2,2,1.0170146053556812,1,1,0.2819,No Churn,10,Low,0,Loyal,No action required.
0,0,1,1,17,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,79.57,1393.54,20,Standard,1,4.420555555555556,1,1,2,3,0.0,1,2,1.0301990847866105,0,0,0.827,Churn,96,High,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,0,0,45,1,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,1,Credit card (automatic),94.69,4272.48,8,Premium,1,2.058478260869565,3,1,1,0,26.0,2,3,1.0026824374273946,1,1,0.2492,No Churn,8,Low,0,Loyal,No action required.
1,0,0,0,40,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.16,797.41,5,Basic,0,0.46731707317073173,0,0,1,2,0.0,2,0,1.0404618997912318,0,0,0.1431,No Churn,3,Low,3,Premium,No action required.
0,0,0,1,27,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,72.75,1995.09,54,Standard,1,2.5982142857142856,0,1,2,3,0.0,2,2,1.015700649102711,0,0,0.8263,Churn,96,High,1,Risky,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
0,0,1,0,64,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),33.01,2118.99,2,Basic,0,0.5078461538461538,1,0,0,0,9.0,3,0,1.0030057179642533,0,0,0.11,No Churn,2,Low,3,Premium,No action required.
0,0,1,0,10,1,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,0,Mailed check,67.97,681.64,53,Standard,0,6.179090909090909,3,0,2,2,3.5,1,2,1.0028542003825216,1,0,0.5025,Churn,51,Medium,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,0,0,14,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,0,Electronic check,86.0,1247.87,45,Premium,1,5.733333333333333,3,1,2,3,7.5,1,3,1.0364368770764119,0,1,0.7979,Churn,95,High,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,0,0,3,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),31.87,99.11,58,Basic,0,7.9675,1,0,2,0,0.0,0,0,1.0366070494718125,0,0,0.5426,Churn,60,Medium,1,Risky,Assign a dedicated Customer Success Manager for the first 90 days. Schedule a weekly check-in call and send a personalised onboarding kit.
0,0,0,0,24,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,1,Bank transfer (automatic),97.59,2337.33,39,Premium,1,3.9036,4,1,2,0,20.5,1,3,0.9979378010042013,1,1,0.7151,Churn,90,High,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,1,1,28,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,76.78,2150.87,9,Standard,0,2.647586206896552,1,1,2,3,5.5,2,2,1.0004791054217987,0,0,0.8004,Churn,95,High,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,1,0,35,1,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,0,Credit card (automatic),56.77,1573.92,63,Standard,1,1.5769444444444445,2,0,2,0,0.0,2,1,0.7921286393719017,1,1,0.5581,Churn,64,Medium,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,1,0,56,1,Yes,DSL,Yes,No,No,No,No,No,Two year,0,Electronic check,64.93,3678.57,26,Standard,0,1.1391228070175439,2,0,0,3,7.0,3,1,1.0116856614815954,0,1,0.2576,No Churn,8,Low,3,Premium,No action required.
1,0,0,1,15,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,0,Electronic check,88.98,1376.32,28,Premium,0,5.56125,2,1,1,3,6.0,1,3,1.0311830373866786,0,0,0.3897,No Churn,25,Medium,2,Inactive,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
0,0,1,0,12,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Mailed check,77.52,942.04,88,Standard,1,5.9630769230769225,1,1,2,2,0.0,1,2,1.012684898520812,1,0,0.7619,Churn,93,High,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,0,0,37,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,18.13,715.56,18,Basic,0,0.4771052631578947,0,0,1,3,0.0,2,0,1.066710394895723,0,0,0.3136,No Churn,13,Low,3,Premium,Offer a 5 % auto-pay discount for switching from electronic cheque to bank transfer or credit card. Simplify the switch with a guided in-app flow.
1,0,1,0,44,1,Yes,Fiber optic,No,No,No,No,Yes,No,One year,0,Bank transfer (automatic),91.77,4084.28,12,Premium,0,2.0393333333333334,2,1,1,0,14.0,2,3,1.0114911785392335,1,0,0.2036,No Churn,5,Low,0,Loyal,No action required.
1,1,1,1,5,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,78.11,408.99,46,Standard,1,13.018333333333333,1,1,2,3,0.0,0,2,1.0472154653693508,0,0,0.7867,Churn,95,High,2,Inactive,Assign a dedicated Customer Success Manager for the first 90 days. Schedule a weekly check-in call and send a personalised onboarding kit.
